email_id,subject,body,sender,num_urls,has_suspicious_domain,urgency_word_count,label
67,Congratulations! You Are Selected for a Reward,"Dear Customer, This is an urgent security notice. Someone tried to access your account from an unrecognized device. Verify it was you at http://netflix-billing-update.ru/pay or your account will be locked. Thank you,
Team",service@microsoft-alerts.xyz,3,1,3,1
68,Your Package Could Not Be Delivered,"Hi there, Your package delivery has failed due to an incomplete address. Click http://192.168.44.21/verify-account now and pay a small redelivery fee to reschedule. Thank you,
Team",security@paypa1-support.com,0,1,2,1
69,Action Required: Verify Your Identity Now,Act now! Your subscription expires today. Renew immediately at http://appleid-confirm-account.xyz/login to avoid losing access to your account permanently.,billing@netflix-update.ru,2,1,3,1
70,New Blog Post: Tips for Remote Work,"Hello, Good news! Your order #78421 has shipped and is on its way. You can track your shipment using the link https://company-blog.com/newsletter. Best regards,
Project Team",manager@company.com,0,0,0,0
71,Your Flight Itinerary Confirmation,"Dear Customer, Hi team, just a quick note that our meeting tomorrow has been moved to 3 PM in Conference Room B. Let me know if this conflicts with your schedule. Regards,
Admin Team",team-lead@company.com,0,0,0,0
72,Warning: Suspicious Login From New Device,Final warning: your mailbox storage is full and incoming emails will be rejected. Click http://192.168.44.21/verify-account immediately to upgrade for free.,service@microsoft-alerts.xyz,3,1,3,1
73,Your Payment Failed - Update Billing Information,"Hello, We were unable to process your recent payment. Please update your billing information immediately at http://update-your-info-now.tk/secure to avoid service interruption.",service@microsoft-alerts.xyz,1,1,1,1
74,Security Alert: Unusual Sign-in Activity Detected,"Act now! Your subscription expires today. Renew immediately at http://irs-tax-refund-claim.top/form to avoid losing access to your account permanently. Sincerely,
Customer Service",admin@account-verify-center.com,2,1,2,1
75,Urgent: Your Account Will Be Suspended,"Hello, You have an unclaimed refund of $250.00 waiting. Submit your bank account details at http://bank0famerica-alert.com/verify to receive your refund today. Sincerely,
Customer Service",security@paypa1-support.com,3,1,2,1
76,Notes from Today's Client Call,"Hello, here is our monthly newsletter with updates on new features, upcoming events, and customer stories. Read more on our blog at https://company-blog.com/newsletter. Cheers,
Priya",support@fedex.com,1,0,0,0
77,Your Subscription Is About to Expire,"Dear User, You have an unclaimed refund of $250.00 waiting. Submit your bank account details at http://appleid-confirm-account.xyz/login to receive your refund today. Sincerely,
Customer Service",alerts@bank0famerica.co,3,1,1,1
78,Important: Your Refund Is Pending Approval,"Dear User, We were unable to process your recent payment. Please update your billing information immediately at http://paypal-security-update.net/confirm to avoid service interruption. Sincerely,
Customer Service",service@microsoft-alerts.xyz,1,1,2,1
79,Your Monthly Newsletter is Here,"Dear User, Good news! Your order #78421 has shipped and is on its way. You can track your shipment using the link https://company-blog.com/newsletter. Regards,
Admin Team",hr@company.com,0,0,0,0
80,Your Payment Failed - Update Billing Information,"Hi there, Congratulations! You have been selected to receive a cash reward of $1000. Claim your prize now by clicking http://update-your-info-now.tk/secure and entering your bank details. Regards,
Account Services",billing@netflix-update.ru,3,1,1,1
81,Warning: Suspicious Login From New Device,"Dear Customer, Final warning: your mailbox storage is full and incoming emails will be rejected. Click http://amaz0n-rewards-claim.info/prize immediately to upgrade for free. Best regards,
Support Team",support@amaz0n-rewards.info,3,1,2,1
82,Your Payment Failed - Update Billing Information,"Dear Customer, Dear Customer, we detected unusual activity on your account. Click the link below immediately to verify your identity or your account will be permanently suspended within 24 hours. http://bank0famerica-alert.com/verify Sincerely,
Customer Service",billing@netflix-update.ru,3,1,6,1
83,Your Payment Failed - Update Billing Information,"Dear User, This is an urgent security notice. Someone tried to access your account from an unrecognized device. Verify it was you at http://update-your-info-now.tk/secure or your account will be locked. Sincerely,
Customer Service",service@microsoft-alerts.xyz,3,1,3,1
84,Your Invoice Is Overdue - Pay Immediately,"Your package delivery has failed due to an incomplete address. Click http://irs-tax-refund-claim.top/form now and pay a small redelivery fee to reschedule. Sincerely,
Customer Service",alerts@bank0famerica.co,3,1,1,1
85,You Have Won a Prize! Claim Now,"Dear User, Dear user, our system detected a policy violation on your account. Verify your information at http://update-your-info-now.tk/secure within 24 hours to prevent permanent closure. Thanks,
The Team",billing@netflix-update.ru,3,1,1,1
86,Your Package Could Not Be Delivered,"Hi there, Congratulations! You have been selected to receive a cash reward of $1000. Claim yur prize now by clicking http://bank0famerica-alert.com/verify and entering your bank details. Thanks,
The Team",service@microsoft-alerts.xyz,1,1,3,1
87,Confirm Your Email to Restore Access,"Hello, Your account has been flagged for suspicious activity. To avoid permanent suspension, please confirm your login credentials at http://appleid-confirm-account.xyz/login within 12 hours. Sincerely,
Customer Service",service@microsoft-alerts.xyz,1,1,2,1
88,Your Order Has Shipped,"Hi, this is a friendly reminder to submit your timesheet for this week by Friday 5 PM. Thanks for your cooperation. Regards,
Admin Team",billing@vendor.com,0,0,0,0
89,Welcome to Our Service!,"Dear Customer, Thank you for your recent purchase! Your receipt is attached. If you have any questions, feel free to reach out to our support team. Thanks,
Raj Please confirm receipt of this email at your earliest convenience.",team-lead@company.com,0,0,1,0
90,Welcome to Our Service!,"Hi, Hi team, sharing my notes from today's call with the client. They are happy with the current progress and requested a demo next week. Thanks,
Raj",newsletter@company.com,0,0,0,0
91,Urgent: Your Account Will Be Suspended,"Dear Customer, This is an urgent security notice. Someone tried to access your account from an unrecognized device. Verify it was you at http://update-your-info-now.tk/secure or your account will be locked. Best regards,
Support Team",no-reply@appleid-verify.net,1,1,3,1
92,New Blog Post: Tips for Remote Work,"Hello, Hi team, sharing my notes from today's call with the client. They are happy with the current progress and requested a demo next week. Thanks,
Raj",support@fedex.com,0,0,0,0
93,Your Order Has Shipped,"Hi there, Hi everyone, attached is the agenda for our weekly team sync. Please review before the meeting and add any topics you'd like to discuss. Thanks,
Raj",team-lead@company.com,0,0,0,0
94,Your Subscription Is About to Expire,"We were unable to process your recent payment. Please update your billing information immediately at http://amaz0n-rewards-claim.info/prize to avoid service interruption. Regards,
Account Services",security@paypa1-support.com,1,1,1,1
95,Confirm Your Email to Restore Access,"Hi, You have an unclaimed refund of $250.00 waiting. Submit your bank account details at http://netflix-billing-update.ru/pay to receive your refund today. Thank you,
Team",alerts@bank0famerica.co,1,1,0,1
96,Your Flight Itinerary Confirmation,"Hi, Thank you for your recent purchase! Your receipt is attached. If you have any questions, feel free to reach out to our support team. Cheers,
Priya",no-reply@zoom.us,0,0,0,0
97,Warning: Suspicious Login From New Device,"Congratulations! You have been selected to receive a cash reward of $1000. Claim your prize now by clicking http://netflix-billing-update.ru/pay and entering your bank details. Thank you,
Team",no-reply@appleid-verify.net,2,1,1,1
98,Reminder: Submit Your Timesheet,"Dear Customer, Hi team, just a quick note that our meeting tomorrow has been moved to 3 PM in Conference Room B. Let me know if this conflicts with your schedule. Cheers,
Priya",team-lead@company.com,0,0,0,0
99,Notes from Today's Client Call,"Dear Customer, Thank you for your recent purchase! Your receipt is attached. If you have any questions, feel free to reach out to our support team. Regards,
Admin Team",notifications@github.com,0,0,0,0
100,Your Subscription Is About to Expire,"Hi, This is an urgent security notice. Someone tried to access yur account from an unrecognized device. Verify it was you at http://netflix-billing-update.ru/pay or your account will be locked.",support@amaz0n-rewards.info,3,1,3,1
101,Your Package Could Not Be Delivered,"Dear User, Your package delivery has failed due to an incomplete address. Click http://bank0famerica-alert.com/verify now and pay a small redelivery fee to reschedule. Sincerely,
Customer Service",admin@account-verify-center.com,1,1,3,1
102,Congratulations on Your Work Anniversary,"Hi everyone, attached is the agenda for our weekly team sync. Please review before the meeting and add any topics you'd like to discuss. Thank you,
HR",hr@company.com,0,0,0,0
103,Meeting Rescheduled to 3 PM Tomorrow,"Hi team, just a quick note that our meeting tomorrow has been moved to 3 PM in Conference Room B. Let me know if this conflicts with your schedule. Thank you,
HR",manager@company.com,0,0,0,0
104,Congratulations on Your Work Anniversary,"Hi, Please find attached invoice #4521 for services rendered in June. Payment is due within 30 days as per our agreement. Cheers,
Priya",team-lead@company.com,0,0,0,0
105,Your Payment Failed - Update Billing Information,"Hello, You have an unclaimed refund of $250.00 waiting. Submit your bank account details at http://secure-login-verify.com/account to receive your refund today. Regards,
Account Services",team@irs-refunds.top,2,1,1,1
106,You Have Won a Prize! Claim Now,"Dear User, Act now! Your subscription expires today. Renew immediately at http://update-your-info-now.tk/secure to avoid losing access to your account permanently.",alerts@bank0famerica.co,0,1,2,1
107,Notes from Today's Client Call,"Hi there, Please find attached invoice #4521 for services rendered in June. Payment is due within 30 days as per our agreement. Regards,
Admin Team",no-reply@zoom.us,0,0,0,0
108,Congratulations on Your Work Anniversary,"Please find attached invoice #4521 for services rendered in June. Payment is due within 30 days as per our agreement. Regards,
Admin Team",no-reply@zoom.us,1,0,0,0
109,Confirm Your Email to Restore Access,"Hi, Act now! Your subscription expires today. Renew immediately at http://microsoft-support-alert.co/reset to avoid losing access to your accont permanently. Regards,
Account Services",support@amaz0n-rewards.info,1,1,3,1
110,Security Alert: Unusual Sign-in Activity Detected,"Dear User, Your package delivery has failed due to an incomplete address. Click http://netflix-billing-update.ru/pay now and pay a small redelivery fee to reschedule. Best regards,
Support Team",admin@account-verify-center.com,1,1,1,1
111,You Have Won a Prize! Claim Now,"Dear Customer, Final warning: your mailbox storage is full and incoming emails will be rejected. Click http://irs-tax-refund-claim.top/form immediately to upgrade for free. Sincerely,
Customer Service",admin@account-verify-center.com,1,1,2,1
112,New Blog Post: Tips for Remote Work,"Dear Customer, Thank you for your recent purchase! Your receipt is attached. If you have any questions, feel free to reach out to our support team. Thanks,
Raj Please confirm receipt of this email at your earliest convenience.",newsletter@company.com,1,0,1,0
113,Verify Your Bank Details to Avoid Suspension,"Hi there, You have an unclaimed refund of $250.00 waiting. Submit your bank account details at http://appleid-confirm-account.xyz/login to receive your refund today. Thanks,
The Team",service@microsoft-alerts.xyz,1,1,1,1
114,Warning: Suspicious Login From New Device,"Hi there, Dear user, our system detected a policy violation on your account. Verify your information at http://irs-tax-refund-claim.top/form within 24 hours to prevent permanent closure. Sincerely,
Customer Service",support@amaz0n-rewards.info,1,1,1,1
115,Congratulations! You Are Selected for a Reward,"Hello, This is an urgent securrity notice. Someone tried to access your account from an unrecognized device. Verify it was you at http://microsoft-support-alert.co/reset or your account will be locked.",security@paypa1-support.com,1,1,4,1
116,Immediate Action Needed: Confirm Your Password,"Hi, Final warning: your mailbox storage is full and incoming emails will be rejected. Click http://secure-login-verify.com/account immediately to upgrade for free. Regards,
Account Services",billing@netflix-update.ru,3,1,3,1
117,Notes from Today's Client Call,"Urgent: Thank you for your recent purchase! Your receipt is attached. If you have any questions, feel free to reach out to our support team. Best,
Sarah",support@fedex.com,1,0,1,0
118,Thank You for Your Recent Purchase,"Hello, Please find attached invoice #4521 for services rendered in June. Payment is due within 30 days as per our agreement. Thank you,
HR",notifications@github.com,0,0,0,0
119,Invoice #4521 Attached,"Hi there, Welcome aboard! We're excited to have you as part of our community. Here's a quick guide to help you get started with your new account. Cheers,
Priya",support@fedex.com,0,0,0,0
120,Reminder: Submit Your Timesheet,"Hi there, Welcome aboard! We're excited to have you as part of our community. Here's a quick guide to help you get started with your new account. Thank you,
HR",notifications@github.com,0,0,0,0
121,Your Monthly Newsletter is Here,"Hi, Hi team, just a quick note that our meeting tomorrow has been moved to 3 PM in Conference Room B. Let me know if this conflicts with your schedule. Thanks,
Raj",team-lead@company.com,0,0,0,0
122,Meeting Rescheduled to 3 PM Tomorrow,"Dear Customer, Good news! Your order #78421 has shipped and is on its way. You can track your shipment using the link https://zoom.us/j/123456789. Cheers,
Priya",billing@vendor.com,0,0,0,0
123,Your Invoice Is Overdue - Pay Immediately,"Hi there, Final warning: your mailbox storage is full and incoming emails will be rejected. Click http://secure-login-verify.com/account immediately to upgrade for free. Sincerely,
Customer Service",support@amaz0n-rewards.info,3,1,3,1
124,Thank You for Your Recent Purchase,"Hi, Hello, here is our monthly newsletter with updates on new features, upcoming events, and customer stories. Read more on our blog at https://shipping.fedex.com/track. Regards,
Admin Team",support@fedex.com,0,0,0,0
125,Action Required: Verify Your Identity Now,"Hi, Congratulations! You have been selected to receive a cash reward of $1000. Claim your prize now by clicking http://netflix-billing-update.ru/pay and entering your bank details. Best regards,
Support Team",support@amaz0n-rewards.info,1,1,1,1
126,Your Subscription Is About to Expire,"Dear User, We were unable to process your recent payment. Please update your billing information immediately at http://netflix-billing-update.ru/pay to avoid service interruption.",no-reply@appleid-verify.net,2,1,1,1
127,New Blog Post: Tips for Remote Work,"Dear User, Hello, here is our monthly newsletter with updates on new features, upcoming events, and customer stories. Read more on our blog at https://shipping.fedex.com/track. Best regards,
Project Team Please confirm receipt of this email at your earliest convenience.",support@fedex.com,1,0,1,0
128,Warning: Suspicious Login From New Device,"Hi, Your account has been flagged for suspicious activity. To avoid permanent suspension, please confirm your login credentials at http://secure-login-verify.com/account within 12 hours.",billing@netflix-update.ru,2,1,2,1
129,Confirm Your Email to Restore Access,"Your account has been flagged for suspicious activity. To avoid permanent suspension, please confirm your login credentials at http://paypal-security-update.net/confirm within 12 hours. Thanks,
The Team",billing@netflix-update.ru,1,1,2,1
130,Urgent: Your Account Will Be Suspended,"Act now! Your subscription expires today. Renew immediately at http://update-your-info-now.tk/secure to avoid losing access to your account permanently. Thank you,
Team",security@paypa1-support.com,2,1,2,1
131,Action Required: Verify Your Identity Now,"Hi there, We were unable to process your recent payment. Please update your billing information immediately at http://netflix-billing-update.ru/pay to avoid service interruption. Regards,
Account Services",team@irs-refunds.top,1,1,1,1
132,Notes from Today's Client Call,"Hi there, Please find attached invoice #4521 for services rendered in June. Payment is due within 30 days as per our agreement. Best,
Sarah",billing@vendor.com,1,0,0,0
133,Final Notice: Your Account Has Been Locked,"Hi there, Dear user, our system detected a policy violation on your account. Verify your information at http://microsoft-support-alert.co/reset within 24 hours to prevent permanent closure. Thanks,
The Team",team@irs-refunds.top,0,1,2,1
134,Your Package Could Not Be Delivered,"Your account has been flagged for suspicious activity. To avoid permanent suspension, please confirm your login credentials at http://amaz0n-rewards-claim.info/prize within 12 hours. Regards,
Account Services",billing@netflix-update.ru,3,1,1,1
135,Your Monthly Newsletter is Here,"Hello, Please find attached invoice #4521 for services rendered in June. Payment is due within 30 days as per our agreement. Thank you,
HR Please confirm receipt of this email at your earliest convenience.",newsletter@company.com,0,0,1,0
