email_id,subject,body,sender,num_urls,has_suspicious_domain,urgency_word_count,label,full_text,clean_text
24,Notes from Today's Client Call,"Hi, Hi team, just a quick note that our meeting tomorrow has been moved to 3 PM in Conference Room B. Let me know if this conflicts with your schedule. Regards,
Admin Team",hr@company.com,0,0,0,0,"Notes from Today's Client Call Hi, Hi team, just a quick note that our meeting tomorrow has been moved to 3 PM in Conference Room B. Let me know if this conflicts with your schedule. Regards,
Admin Team",notes todays client call hi hi team quick note meeting tomorrow moved pm conference room let know conflicts schedule regards admin team
25,Your Monthly Newsletter is Here,"Hi, Welcome aboard! We're excited to have you as part of our community. Here's a quick guide to help you get started with your new account. Thanks,
Raj",support@fedex.com,0,0,0,0,"Your Monthly Newsletter is Here Hi, Welcome aboard! We're excited to have you as part of our community. Here's a quick guide to help you get started with your new account. Thanks,
Raj",monthly newsletter hi welcome aboard excited part community heres quick guide help get started new account thanks raj
26,Final Notice: Your Account Has Been Locked,"Hi, Your package delivery has failed due to an incomplete address. Click http://192.168.44.21/verifyy-account now and pay a small redelivery fee to reschedule. Thank you,
Team",security@paypa1-support.com,1,1,2,1,"Final Notice: Your Account Has Been Locked Hi, Your package delivery has failed due to an incomplete address. Click http://192.168.44.21/verifyy-account now and pay a small redelivery fee to reschedule. Thank you,
Team",final notice account locked hi package delivery failed due incomplete address click URLTOKEN pay small redelivery fee reschedule thank team
27,Meeting Rescheduled to 3 PM Tomorrow,"Dear User, Hello, here is our monthly newsletter with updates on new features, upcoming events, and customer stories. Read more on our blog at https://github.com/company/project. Best regards,
Project Team",team-lead@company.com,0,0,0,0,"Meeting Rescheduled to 3 PM Tomorrow Dear User, Hello, here is our monthly newsletter with updates on new features, upcoming events, and customer stories. Read more on our blog at https://github.com/company/project. Best regards,
Project Team",meeting rescheduled pm tomorrow dear user hello monthly newsletter updates new features upcoming events customer stories read blog URLTOKEN best regards project team
28,Verify Your Bank Details to Avoid Suspension,"Dear User, You have an unclaimed refund of $250.00 waiting. Submit your bank account details at http://paypal-security-update.net/confirm to receive your refund today. Best regards,
Support Team",service@microsoft-alerts.xyz,1,1,1,1,"Verify Your Bank Details to Avoid Suspension Dear User, You have an unclaimed refund of $250.00 waiting. Submit your bank account details at http://paypal-security-update.net/confirm to receive your refund today. Best regards,
Support Team",verify bank details avoid suspension dear user unclaimed refund waiting submit bank account details URLTOKEN receive refund today best regards support team
29,Congratulations on Your Work Anniversary,"Hello, Hi all, sharing the notes from today's sprint review. We completed 8 out of 10 planned stories and identified two blockers for next sprint. Best,
Sarah",no-reply@zoom.us,1,0,0,0,"Congratulations on Your Work Anniversary Hello, Hi all, sharing the notes from today's sprint review. We completed 8 out of 10 planned stories and identified two blockers for next sprint. Best,
Sarah",congratulations work anniversary hello hi sharing notes todays sprint review completed planned stories identified two blockers next sprint best sarah
30,Security Alert: Unusual Sign-in Activity Detected,"Dear User, Your package delivery has failed due to an incomplete address. Click http://update-your-info-now.tk/secure now and pay a small redelivery fee to reschedule. Regards,
Account Services",service@microsoft-alerts.xyz,1,1,1,1,"Security Alert: Unusual Sign-in Activity Detected Dear User, Your package delivery has failed due to an incomplete address. Click http://update-your-info-now.tk/secure now and pay a small redelivery fee to reschedule. Regards,
Account Services",security alert unusual signin activity detected dear user package delivery failed due incomplete address click URLTOKEN pay small redelivery fee reschedule regards account services
31,Invoice #4521 Attached,"Hi team, sharing my notes from today's call with the client. They are happy with the current progress and requested a demo next week. Best,
Sarah",team-lead@company.com,1,0,0,0,"Invoice #4521 Attached Hi team, sharing my notes from today's call with the client. They are happy with the current progress and requested a demo next week. Best,
Sarah",invoice attached hi team sharing notes todays call client happy current progress requested demo next week best sarah
32,Verify Your Bank Details to Avoid Suspension,"Hi, Congratulations! You have been selected to receive a cash reward of $1000. Claim your prize now by clicking http://microsoft-support-alert.co/reset and entering your bank details. Thanks,
The Team",support@amaz0n-rewards.info,1,1,2,1,"Verify Your Bank Details to Avoid Suspension Hi, Congratulations! You have been selected to receive a cash reward of $1000. Claim your prize now by clicking http://microsoft-support-alert.co/reset and entering your bank details. Thanks,
The Team",verify bank details avoid suspension hi congratulations selected receive cash reward claim prize clicking URLTOKEN entering bank details thanks team
33,New Blog Post: Tips for Remote Work,"Hello, Hi, this is a friendly reminder to submit your timesheet for this week by Friday 5 PM. Thanks for your cooperation. Cheers,
Priya Please confirm receipt of this email at your earliest convenience.",notifications@github.com,1,0,1,0,"New Blog Post: Tips for Remote Work Hello, Hi, this is a friendly reminder to submit your timesheet for this week by Friday 5 PM. Thanks for your cooperation. Cheers,
Priya Please confirm receipt of this email at your earliest convenience.",new blog post tips remote work hello hi friendly reminder submit timesheet week friday pm thanks cooperation cheers priya please confirm receipt email earliest convenience
34,Your Package Could Not Be Delivered,"Hello, Your package delivery has failed due to an incomplete address. Click http://amaz0n-rewards-claim.info/prize now and pay a small redelivery fee to reschedule. Sincerely,
Customer Service",service@microsoft-alerts.xyz,3,1,1,1,"Your Package Could Not Be Delivered Hello, Your package delivery has failed due to an incomplete address. Click http://amaz0n-rewards-claim.info/prize now and pay a small redelivery fee to reschedule. Sincerely,
Customer Service",package could delivered hello package delivery failed due incomplete address click URLTOKEN pay small redelivery fee reschedule sincerely customer service
35,Important: Your Refund Is Pending Approval,"Dear Customer, We were unable to process your recent payment. Please update your billing information immediately at http://microsoft-support-alert.co/reset to avoid service interruption. Sincerely,
Customer Service",support@amaz0n-rewards.info,0,1,2,1,"Important: Your Refund Is Pending Approval Dear Customer, We were unable to process your recent payment. Please update your billing information immediately at http://microsoft-support-alert.co/reset to avoid service interruption. Sincerely,
Customer Service",important refund pending approval dear customer unable process recent payment please update billing information immediately URLTOKEN avoid service interruption sincerely customer service
36,Congratulations on Your Work Anniversary,"Dear Customer, Hi all, sharing the notes from today's sprint review. We completed 8 out of 10 planned stories and identified two blockers for next sprint. Best,
Sarah",newsletter@company.com,0,0,0,0,"Congratulations on Your Work Anniversary Dear Customer, Hi all, sharing the notes from today's sprint review. We completed 8 out of 10 planned stories and identified two blockers for next sprint. Best,
Sarah",congratulations work anniversary dear customer hi sharing notes todays sprint review completed planned stories identified two blockers next sprint best sarah
37,Invoice #4521 Attached,"Dear Customer, Hi team, just a quick note that our meeting tomorrow has been moved to 3 PM in Conference Room B. Let me know if this conflicts with your schedule. Cheers,
Priya",newsletter@company.com,0,0,0,0,"Invoice #4521 Attached Dear Customer, Hi team, just a quick note that our meeting tomorrow has been moved to 3 PM in Conference Room B. Let me know if this conflicts with your schedule. Cheers,
Priya",invoice attached dear customer hi team quick note meeting tomorrow moved pm conference room let know conflicts schedule cheers priya
38,Project Update: Sprint Review Notes,"Hi, Hi, this is a friendly reminder to submit your timesheet for this week by Friday 5 PM. Thanks for your cooperation. Cheers,
Priya",hr@company.com,0,0,0,0,"Project Update: Sprint Review Notes Hi, Hi, this is a friendly reminder to submit your timesheet for this week by Friday 5 PM. Thanks for your cooperation. Cheers,
Priya",project update sprint review notes hi hi friendly reminder submit timesheet week friday pm thanks cooperation cheers priya
39,Your Invoice Is Overdue - Pay Immediately,"Hi, Your account has been flagged for suspicious activity. To avoid permanent suspension, please confirm your login credentials at http://192.168.44.21/verify-account within 12 hours. Best regards,
Support Team",alerts@bank0famerica.co,1,1,2,1,"Your Invoice Is Overdue - Pay Immediately Hi, Your account has been flagged for suspicious activity. To avoid permanent suspension, please confirm your login credentials at http://192.168.44.21/verify-account within 12 hours. Best regards,
Support Team",invoice overdue pay immediately hi account flagged suspicious activity avoid permanent suspension please confirm login credentials URLTOKEN within hours best regards support team
40,Your Monthly Newsletter is Here,"Hi, Hi all, sharing the notes from today's sprint review. We completed 8 out of 10 planned stories and identified two blockers for next sprint. Regards,
Admin Team",newsletter@company.com,0,0,0,0,"Your Monthly Newsletter is Here Hi, Hi all, sharing the notes from today's sprint review. We completed 8 out of 10 planned stories and identified two blockers for next sprint. Regards,
Admin Team",monthly newsletter hi hi sharing notes todays sprint review completed planned stories identified two blockers next sprint regards admin team
41,Your Monthly Newsletter is Here,"Hi there, Hi, this is a friendly reminder to submit your timesheet for this week by Friday 5 PM. Thanks for your cooperation. Best,
Sarah Please confirm receipt of this email at your earliest convenience.",manager@company.com,1,0,1,0,"Your Monthly Newsletter is Here Hi there, Hi, this is a friendly reminder to submit your timesheet for this week by Friday 5 PM. Thanks for your cooperation. Best,
Sarah Please confirm receipt of this email at your earliest convenience.",monthly newsletter hi hi friendly reminder submit timesheet week friday pm thanks cooperation best sarah please confirm receipt email earliest convenience
42,Your Package Could Not Be Delivered,"Hello, You have an unclaimed refund of $250.00 waiting. Submit your bank account details at http://netflix-billing-update.ru/pay to receive your refund today. Regards,
Account Services",billing@netflix-update.ru,3,1,0,1,"Your Package Could Not Be Delivered Hello, You have an unclaimed refund of $250.00 waiting. Submit your bank account details at http://netflix-billing-update.ru/pay to receive your refund today. Regards,
Account Services",package could delivered hello unclaimed refund waiting submit bank account details URLTOKEN receive refund today regards account services
43,Important: Your Refund Is Pending Approval,"Dear User, Dear user, our system detected a policy violation on your account. Verify your information at http://microsoft-support-alert.co/reset within 24 hours to prevent permanent closure. Best regards,
Support Team",admin@account-verify-center.com,2,1,2,1,"Important: Your Refund Is Pending Approval Dear User, Dear user, our system detected a policy violation on your account. Verify your information at http://microsoft-support-alert.co/reset within 24 hours to prevent permanent closure. Best regards,
Support Team",important refund pending approval dear user dear user system detected policy violation account verify information URLTOKEN within hours prevent permanent closure best regards support team
44,Congratulations on Your Work Anniversary,"Urgent: Hi, Hi, this is a friendly reminder to submit your timesheet for this week by Friday 5 PM. Thanks for your cooperation. Thanks,
Raj",no-reply@zoom.us,0,0,1,0,"Congratulations on Your Work Anniversary Urgent: Hi, Hi, this is a friendly reminder to submit your timesheet for this week by Friday 5 PM. Thanks for your cooperation. Thanks,
Raj",congratulations work anniversary urgent hi hi friendly reminder submit timesheet week friday pm thanks cooperation thanks raj
45,Reminder: Submit Your Timesheet,"Hi there, Thank you for your recent purchase! Your receipt is attached. If you have any questions, feel free to reach out to our support team. Thank you,
HR",no-reply@zoom.us,0,0,0,0,"Reminder: Submit Your Timesheet Hi there, Thank you for your recent purchase! Your receipt is attached. If you have any questions, feel free to reach out to our support team. Thank you,
HR",reminder submit timesheet hi thank recent purchase receipt attached questions feel free reach support team thank hr
46,Important: Your Refund Is Pending Approval,"Hi there, Final warning: your mailbox storage is full and incoming emails will be rejected. Click http://192.168.44.21/verify-account immediately to upgrade for free.",no-reply@appleid-verify.net,3,1,3,1,"Important: Your Refund Is Pending Approval Hi there, Final warning: your mailbox storage is full and incoming emails will be rejected. Click http://192.168.44.21/verify-account immediately to upgrade for free.",important refund pending approval hi final warning mailbox storage full incoming emails rejected click URLTOKEN immediately upgrade free
47,Warning: Suspicious Login From New Device,"Hi there, Congratulations! You have been selected to receive a cash reward of $1000. Claim your prize now by clicking http://appleid-confirm-account.xyz/login and entering your bank details. Regards,
Account Services",support@amaz0n-rewards.info,2,1,2,1,"Warning: Suspicious Login From New Device Hi there, Congratulations! You have been selected to receive a cash reward of $1000. Claim your prize now by clicking http://appleid-confirm-account.xyz/login and entering your bank details. Regards,
Account Services",warning suspicious login new device hi congratulations selected receive cash reward claim prize clicking URLTOKEN entering bank details regards account services
48,Congratulations on Your Work Anniversary,"Dear User, Hi team, just a quick note that our meeting tomorrow has been moved to 3 PM in Conference Room B. Let me know if this conflicts with your schedule. Best regards,
Project Team",notifications@github.com,1,0,0,0,"Congratulations on Your Work Anniversary Dear User, Hi team, just a quick note that our meeting tomorrow has been moved to 3 PM in Conference Room B. Let me know if this conflicts with your schedule. Best regards,
Project Team",congratulations work anniversary dear user hi team quick note meeting tomorrow moved pm conference room let know conflicts schedule best regards project team
49,Security Alert: Unusual Sign-in Activity Detected,"Your package delivery has failed due to an incomplete address. Click http://bank0famerica-alert.com/verify now and pay a small redelivery fee to reschedule. Best regards,
Support Team",team@irs-refunds.top,2,1,3,1,"Security Alert: Unusual Sign-in Activity Detected Your package delivery has failed due to an incomplete address. Click http://bank0famerica-alert.com/verify now and pay a small redelivery fee to reschedule. Best regards,
Support Team",security alert unusual signin activity detected package delivery failed due incomplete address click URLTOKEN pay small redelivery fee reschedule best regards support team
50,Your Package Could Not Be Delivered,"Hi there, Final warning: your mailbox storage is full and incoming emails will be rejected. Click http://netflix-billing-update.ru/pay immediately to upgrade for free. Regards,
Account Services",team@irs-refunds.top,3,1,2,1,"Your Package Could Not Be Delivered Hi there, Final warning: your mailbox storage is full and incoming emails will be rejected. Click http://netflix-billing-update.ru/pay immediately to upgrade for free. Regards,
Account Services",package could delivered hi final warning mailbox storage full incoming emails rejected click URLTOKEN immediately upgrade free regards account services
51,Meeting Rescheduled to 3 PM Tomorrow,"Dear User, Please find attached invoice #4521 for services rendered in June. Payment is due within 30 days as per our agreement. Regards,
Admin Team",billing@vendor.com,0,0,0,0,"Meeting Rescheduled to 3 PM Tomorrow Dear User, Please find attached invoice #4521 for services rendered in June. Payment is due within 30 days as per our agreement. Regards,
Admin Team",meeting rescheduled pm tomorrow dear user please find attached invoice services rendered june payment due within days per agreement regards admin team
52,Meeting Rescheduled to 3 PM Tomorrow,"Dear User, Hi, this is a friendly reminder to submit your timesheet for this week by Friday 5 PM. Thanks for your cooperation. Cheers,
Priya",team-lead@company.com,0,0,0,0,"Meeting Rescheduled to 3 PM Tomorrow Dear User, Hi, this is a friendly reminder to submit your timesheet for this week by Friday 5 PM. Thanks for your cooperation. Cheers,
Priya",meeting rescheduled pm tomorrow dear user hi friendly reminder submit timesheet week friday pm thanks cooperation cheers priya
53,Notes from Today's Client Call,"Hello, Welcome aboard! We're excited to have you as part of our community. Here's a quick guide to help you get started with your new account. Thank you,
HR",team-lead@company.com,0,0,0,0,"Notes from Today's Client Call Hello, Welcome aboard! We're excited to have you as part of our community. Here's a quick guide to help you get started with your new account. Thank you,
HR",notes todays client call hello welcome aboard excited part community heres quick guide help get started new account thank hr
54,You Have Won a Prize! Claim Now,"Hi, Final warning: your mailbox storage is full and incoming emails will be rejected. Click http://amaz0n-rewards-claim.info/prize immediately to upgrade for free.",alerts@bank0famerica.co,3,1,2,1,"You Have Won a Prize! Claim Now Hi, Final warning: your mailbox storage is full and incoming emails will be rejected. Click http://amaz0n-rewards-claim.info/prize immediately to upgrade for free.",prize claim hi final warning mailbox storage full incoming emails rejected click URLTOKEN immediately upgrade free
55,Final Notice: Your Account Has Been Locked,"Hi, You have an unclaimed refund of $250.00 waiting. Submit your bank account details at http://192.168.44.21/verify-account to receive your refund today. Thanks,
The Team",security@paypa1-support.com,0,1,1,1,"Final Notice: Your Account Has Been Locked Hi, You have an unclaimed refund of $250.00 waiting. Submit your bank account details at http://192.168.44.21/verify-account to receive your refund today. Thanks,
The Team",final notice account locked hi unclaimed refund waiting submit bank account details URLTOKEN receive refund today thanks team
56,Your Monthly Newsletter is Here,"Hi team, just a quick note that our meeting tomorrow has been moved to 3 PM in Conference Room B. Let me know if this conflicts with your schedule. Best,
Sarah",notifications@github.com,1,0,0,0,"Your Monthly Newsletter is Here Hi team, just a quick note that our meeting tomorrow has been moved to 3 PM in Conference Room B. Let me know if this conflicts with your schedule. Best,
Sarah",monthly newsletter hi team quick note meeting tomorrow moved pm conference room let know conflicts schedule best sarah
57,Notes from Today's Client Call,"Urgent: Welcome aboard! We're excited to have you as part of our community. Here's a quick guide to help you get started with your new account. Best,
Sarah",billing@vendor.com,1,0,1,0,"Notes from Today's Client Call Urgent: Welcome aboard! We're excited to have you as part of our community. Here's a quick guide to help you get started with your new account. Best,
Sarah",notes todays client call urgent welcome aboard excited part community heres quick guide help get started new account best sarah
58,Urgent: Your Account Will Be Suspended,"Dear Customer, Act now! Your subscription expires today. Renew immediately at http://microsoft-support-alert.co/reset to avoid losing access to your account permanently. Thanks,
The Team",admin@account-verify-center.com,0,1,3,1,"Urgent: Your Account Will Be Suspended Dear Customer, Act now! Your subscription expires today. Renew immediately at http://microsoft-support-alert.co/reset to avoid losing access to your account permanently. Thanks,
The Team",urgent account suspended dear customer act subscription expires today renew immediately URLTOKEN avoid losing access account permanently thanks team
59,Congratulations! You Are Selected for a Reward,"Dear User, Act now! Your subscription expires today. Renew immediately at http://amaz0n-rewards-claim.info/prize to avoid losing access to your account permanently. Sincerely,
Customer Service",admin@account-verify-center.com,0,1,2,1,"Congratulations! You Are Selected for a Reward Dear User, Act now! Your subscription expires today. Renew immediately at http://amaz0n-rewards-claim.info/prize to avoid losing access to your account permanently. Sincerely,
Customer Service",congratulations selected reward dear user act subscription expires today renew immediately URLTOKEN avoid losing access account permanently sincerely customer service
60,Quarterly Performance Report Attached,"Dear User, Hello, here is our monthly newsletter with updates on new features, upcoming events, and customer stories. Read more on our blog at https://github.com/company/project. Best regards,
Project Team",no-reply@zoom.us,0,0,0,0,"Quarterly Performance Report Attached Dear User, Hello, here is our monthly newsletter with updates on new features, upcoming events, and customer stories. Read more on our blog at https://github.com/company/project. Best regards,
Project Team",quarterly performance report attached dear user hello monthly newsletter updates new features upcoming events customer stories read blog URLTOKEN best regards project team
61,Notes from Today's Client Call,"Hi, Hello, here is our monthly newsletter with updates on new features, upcoming events, and customer stories. Read more on our blog at https://docs.google.com/spreadsheets/d/abc123. Regards,
Admin Team",newsletter@company.com,0,0,0,0,"Notes from Today's Client Call Hi, Hello, here is our monthly newsletter with updates on new features, upcoming events, and customer stories. Read more on our blog at https://docs.google.com/spreadsheets/d/abc123. Regards,
Admin Team",notes todays client call hi hello monthly newsletter updates new features upcoming events customer stories read blog URLTOKEN regards admin team
